company,opened,n,fit,sample,link
Figure AI,2026-09-22,1,HARDWARE,Electrical Engineering Intern [Fall 2026],https://job-boards.greenhouse.io/figureai/jobs/4676467006
Gorbel,2026-09-22,1,HARDWARE,Electrical Engineer Co-op,https://simplify.jobs/jobs/click/3a00bf93-9628-4dbf-baa2-19da862e2949
Peter Basso Associates,2026-09-22,1,HARDWARE,Electrical Engineering Co-op,https://simplify.jobs/jobs/click/920873e0-f3c8-4a0c-9d54-220989219108
Sonos,2026-09-23,2,HARDWARE,Electrical Engineering Co-Op,https://sonos.wd1.myworkdayjobs.com/Sonos/job/Boston-MA/Electrical-Engineering-Co-Op_R2824-2
SSOE Group,2026-09-23,2,HARDWARE,Electrical Engineer Co-op,https://simplify.jobs/jobs/click/b47d2af4-c720-48b8-9f69-d59fd6bf74d9
"Sonos, Inc.",2026-09-23,1,HARDWARE,Electrical Engineering Co-Op,https://www.linkedin.com/jobs/view/4469490634
TTM Technologies,2026-09-23,1,HARDWARE,RF/Microwave Intern (Jan-May 2027),https://www.linkedin.com/jobs/view/4470998078
Vital Lyfe,2026-09-23,1,HARDWARE,Electrical Engineering Internship - Spring 2027,https://www.linkedin.com/jobs/view/4468959219
Radionix,2026-09-23,1,HARDWARE,Electrical Test Engineering Co-Op,https://www.linkedin.com/jobs/view/4470956549
Standex International,2026-09-23,1,HARDWARE,Electrical Engineering Co-Op,https://www.linkedin.com/jobs/view/4382882195
SoundOff Signal,2026-09-23,1,HARDWARE,Electrical Engineer Intern/Co-op,https://simplify.jobs/jobs/click/a8472d45-9d65-479c-9822-173cdacfce6c
Bobcat Company,2026-09-24,2,HARDWARE,Electrical Engineer Student Experience - Spring 2027,https://www.linkedin.com/jobs/view/4462743730
"CMTA, Inc.",2026-09-24,1,HARDWARE,Electrical Engineer Intern/Co-op Spring 2027 (multiple locations),https://www.linkedin.com/jobs/view/4453146483
Cummins Inc.,2026-09-24,1,HARDWARE,Product Systems Validation - Co-Op Positions,https://www.linkedin.com/jobs/view/4470041397
Schaeffler,2026-09-24,2,HARDWARE,Co-op Electrical Engineering - Winter 2027,https://www.linkedin.com/jobs/view/4452619694
Siemens Digital Industries Software,2026-09-24,2,HARDWARE,"Strategic Student Program: Cross-Domain Electronics Systems Engineering Intern (T&I, Spring 2027)",https://www.linkedin.com/jobs/view/4461385949
"iRhythm Technologies, Inc.",2026-09-24,3,HARDWARE,Electrical Test Engineering Co-op Intern January-June 2027,https://www.linkedin.com/jobs/view/4470102145
CNH,2026-09-24,3,HARDWARE,Product Validation Engineering Co-op,https://www.linkedin.com/jobs/view/4462186445
Olin,2026-09-24,1,HARDWARE,Electrical Engineer Co-Op - Fall 2027,https://www.linkedin.com/jobs/view/4461363708
Billerud,2026-09-24,1,HARDWARE,"Electrical Engineering Co-Op (Quinnesec & Escanaba, MI)",https://www.linkedin.com/jobs/view/4461779753
Keenfinity,2026-09-24,2,HARDWARE,Electrical Test Engineer Co-op,https://simplify.jobs/jobs/click/b8127d50-dc6f-46e2-9013-f37a1fa30d70
AES,2026-09-24,1,HARDWARE,Electrical Engineer Co-op,https://simplify.jobs/jobs/click/7bbd8726-26fa-47d3-86a3-b7a38e7a3cae
Symbotic,2026-09-24,1,HARDWARE,Hardware Engineer Co-op,https://simplify.jobs/jobs/click/d2c8d6aa-577e-4c0d-8edc-a385f1d6ad60
CesiumAstro,2026-09-25,1,HARDWARE,Summer 2027 – Test Engineering Internship,https://www.linkedin.com/jobs/view/4472058660
Ephemeris Net,2026-09-25,1,HARDWARE,2027 Spring Electrical Engineering Internship,https://www.linkedin.com/jobs/view/4463192693
Marotta Controls,2026-09-25,1,HARDWARE,Spring 2027 Electrical Engineering Internship/Co-Op,https://www.linkedin.com/jobs/view/4462878280
Cummins,2026-09-25,1,HARDWARE,Product Systems Validation Co-op,https://simplify.jobs/jobs/click/093b3e9b-8675-431c-9224-fa45823cc47d
Saab,2026-09-25,1,HARDWARE,Electrical Engineering Co-op,https://simplify.jobs/jobs/click/aea50023-bfc4-4203-a4d7-f3decbe8ebd6
